Date,ROI-USD,ROI-ETH,CMC200-USD,BTC-ETH
2020-07-11,0.0586495775224258,0.017406377928191087,0.0,0.0
2020-07-12,2.29455880262387,1.6330171288602076,-7.124491693867492,0.2585345125826229
2020-07-13,0.4910050729895683,0.8572595646284009,-14.248983387735,0.017801979705649517
2020-07-14,2.7162244887618003,2.652552419763155,-12.752563647000084,0.17958132721857153
2020-07-15,4.391205192882638,5.1353105374281665,-11.256143906265168,-0.08973203454846679
2020-07-16,2.2207775735549333,4.800539406959604,-9.759724165530251,0.07468761939700146
2020-07-17,6.318023578837813,9.429849025109583,-8.263304424795335,1.422690336481537
2020-07-18,8.145110675946832,10.003734339029613,-6.766884684060404,2.112010584164706
2020-07-19,7.377088183659425,7.847568970187913,-5.2704649433254875,0.9744686446179093
2020-07-20,6.430896480836768,8.235016930709776,-3.7740452025905715,0.00048746097407785044
2020-07-21,13.684933782663578,11.635130298553854,-2.277625461855656,0.7659756112698398
2020-07-22,14.131545265694832,5.1721978400690345,-0.7812057211207398,-0.6906464668993416
2020-07-23,15.445803754249487,1.9544807915780438,0.7152140196141762,-6.219970839046468
2020-07-24,14.276007308411172,-0.6679648368150404,2.2116337603490925,-9.387823742164283
2020-07-25,19.447977011022324,-4.493689194556316,3.7080535010840086,-11.37964729068683
2020-07-26,16.53837846734036,-9.134394172187966,5.204473241818939,-17.54849544737907
2020-07-27,15.45984466501138,-13.867098248427775,6.700892982553857,-17.00277692257702
2020-07-28,18.629328112176218,-8.870929254658254,8.197312723288771,-11.351362439664051
2020-07-29,20.414895682084033,-7.257596256364656,9.693732464023688,-10.589088526615893
2020-07-30,23.675739200613727,-9.20643264802458,11.190152204758604,-9.328412083573042
2020-07-31,22.892829422212177,-13.218048100509975,12.686571945493519,-13.936719675036702
2020-08-01,28.542152932163567,-18.561258699782964,14.182991686228435,-15.060613051646504
2020-08-02,23.922174807393137,-18.799509924278478,15.679411426963352,-20.929508785481158
2020-08-03,29.236576355823114,-17.852059348300635,17.17583116769827,-22.336860745234375
2020-08-04,31.58147047078954,-16.080832110955466,18.67225090843318,-24.508650000157076
2020-08-05,37.53248020917598,-13.359151497648568,20.1686706491681,-25.65590746820878
2020-08-06,42.7197312498242,-6.470893087755196,21.665090389903018,-24.033117393219175
2020-08-07,41.33918108085452,-3.992374871366121,23.161510130637932,-22.532996858768634
2020-08-08,48.610573007319545,-0.15579699577598172,24.657929871372865,-20.84070096340902
2020-08-09,53.53570380967559,5.543757939255801,26.15434961210778,-22.08826303894207
2020-08-10,56.24798259920772,6.6679606165443905,27.650769352842698,-22.15104603442356
2020-08-11,53.80754767347997,8.339694827405062,29.147189093577612,-22.08390988852923
2020-08-12,71.4136201199151,23.400319539716342,30.64360883431254,-22.022381247281782
2020-08-13,80.48698985690042,22.87629756060565,32.14002857504746,-22.424336524669584
2020-08-14,82.93394858190018,22.414600783918104,33.636448315782374,-28.004465836330784
2020-08-15,82.02093266953227,22.757150812049254,35.13286805651729,-30.248057381306737
2020-08-16,88.21387758963692,29.001484966472198,36.62928779725221,-28.8271782415368
2020-08-17,88.96449202904851,30.08629695188764,38.125707537987125,-28.72813009692971
2020-08-18,85.27353350379997,28.15395773355582,39.62212727872204,-26.11030818293014
2020-08-19,81.36952734649978,27.81891189114965,41.118547019456955,-26.496354220680708
2020-08-20,85.24713810228951,29.531776834009733,43.678768759459516,-24.945548455065808
2020-08-21,77.79641842607194,28.863911344301318,43.678768759459516,-26.050617158822526
2020-08-22,79.94603024261568,28.746173822753473,43.0350662849432,-22.779193393189455
2020-08-23,78.2082226899209,28.129169679086232,42.39136381042691,-23.431463434871556
2020-08-24,85.88655799354163,31.360569617245325,41.74766133591059,-22.68614696359844
2020-08-25,79.82569024213448,31.10570106158853,35.347106985904205,-25.24214626500388
2020-08-26,89.32530098746723,40.108434490640114,37.819799777530605,-23.305462427289264
2020-08-27,86.65305647966194,38.45452750480121,34.44446470577509,-22.866288237501102
2020-08-28,90.3190727759177,38.74009400602745,34.44446470577509,-23.16894071597815
2020-08-29,88.87064778598784,36.225960726534765,37.09039187439597,-24.314706323197456
2020-08-30,95.06978341909026,35.60282059128984,39.73631904301683,-25.374482427119478
2020-08-31,93.45113983901523,32.341640223541326,42.3822462116377,-29.06836502666469
