Date,ROI
2020-02-12,-0.05840213041148703
2020-02-13,0.7781798100257058
2020-02-14,7.404865326221935
2020-02-15,-0.3313069772082935
2020-02-16,-0.9931512965529408
2020-02-17,0.9783305792982444
2020-02-18,6.36692862152633
2020-02-19,-1.487167370946863
2020-02-20,-1.9789934490384489
2020-02-21,0.7646275303374657
2020-02-22,-0.6337573963744048
2020-02-23,4.265297215866478
2020-02-24,1.0781903623466853
2020-02-25,-5.663466717238099
2020-02-26,-14.90838322391927
2020-02-27,-14.430350362920294
2020-02-28,-13.895673217912558
2020-02-29,-17.578627910527345
2020-03-01,-17.770598084328434
2020-03-02,-11.845000301008596
2020-03-03,-15.178321842829256
2020-03-04,-15.057635274258514
2020-03-05,-13.299997169249615
2020-03-06,-6.129342338872449
2020-03-07,-8.838690905105233
2020-03-08,-13.950833596334917
2020-03-09,-14.107739132686131
2020-03-10,-13.047434327311061
2020-03-11,-15.686017725851398
2020-03-12,-60.26234866555397
2020-03-13,-37.79257476019791
2020-03-14,-44.82290600165013
2020-03-15,-44.31034757967034
2020-03-16,-55.11526367436482
2020-03-17,-49.07268652601019
2020-03-18,-48.42162914100762
2020-03-19,-32.17217205834598
2020-03-20,-36.270511622381534
2020-03-21,-35.85865843046208
2020-03-22,-43.16381418037888
2020-03-23,-32.11740695614673
2020-03-24,-30.110935041833958
2020-03-25,-32.00137675659402
2020-03-26,-30.085004341131558
2020-03-27,-35.76688167242719
2020-03-28,-35.29116418698259
2020-03-29,-40.07778939862236
2020-03-30,-34.17980125746447
2020-03-31,-33.55243848310357
2020-04-01,-31.832188488351512
2020-04-02,-28.263398976776074
2020-04-03,-27.79855052964863
2020-04-04,-25.676295667210972
2020-04-05,-26.597053212037284
2020-04-06,-7.319591553873632
2020-04-07,-10.900072784464175
2020-04-08,-5.755279718068164
2020-04-09,-7.332271503769633
2020-04-10,-14.65038182857817
2020-04-11,-14.136360533631041
2020-04-12,-13.215166747947695
2020-04-13,-15.140248660481337
2020-04-14,-14.25252892957586
2020-04-15,-17.49379060806634
2020-04-16,-5.15412619017512
2020-04-17,-5.7799647599912145
2020-04-18,3.812338364384809
2020-04-19,0.02261087575460463
2020-04-20,-5.2732659612454835
2020-04-21,-5.306873383566237
2020-04-22,1.6493886213364517
2020-04-23,2.9481811866996512
2020-04-24,4.296427161799726
2020-04-25,8.07525370992986
2020-04-26,9.833744426026842
2020-04-27,9.414673306314207
2020-04-28,10.036265917723505
2020-04-29,19.039291577990078
2020-04-30,14.648227663572204
2020-05-01,17.71878414500445
2020-05-02,18.699974733977786
2020-05-03,17.062691935253994
2020-05-04,15.445103461146338
2020-05-05,14.251748813395718
2020-05-06,11.622878589492178
2020-05-07,18.152751151802956
2020-05-08,17.60499576598257
2020-05-09,17.182823872003592
2020-05-10,6.569265541248303
2020-05-11,5.388133663357014
2020-05-12,7.209876522554
2020-05-13,12.576171571528949
2020-05-14,14.387091754224755
2020-05-15,10.099869936698553
2020-05-16,13.215071058386304
2020-05-17,16.29721801658574
2020-05-18,19.83049405707319
2020-05-19,19.84462140913577
2020-05-20,17.869691364752644
2020-05-21,12.646842091561705
2020-05-22,16.677120455770453
2020-05-23,16.497950297403637
2020-05-24,14.2207485714914
2020-05-25,15.278035783178595
2020-05-26,12.673652406105328
2020-05-27,16.86064850476366
2020-05-28,22.821188120585035
2020-05-29,23.237373703271807
2020-05-30,33.52967493002861
2020-05-31,28.848765958121085
2020-06-01,35.674668636975866
2020-06-02,31.54529952319465
2020-06-03,34.50441621821978
2020-06-04,33.93838277559582
2020-06-05,32.609187172098565
2020-06-06,33.39823139019335
2020-06-07,34.31047704669662
2020-06-08,35.18859662226807
2020-06-09,35.18859662226807
